Host Since;Host Response Rate;Is Superhost;neighbourhood;Neighborhood Group;Latitude;Longitude;Is Exact Location;Accomodates;Bathrooms;Bedrooms;Beds;Guests Included;Min Nights;Reviews;Overall Rating;Accuracy Rating;Cleanliness Rating;Checkin Rating;Communication Rating;Location Rating;Value Rating;Instant Bookable;Price;Host Response Time_a few days or more;Host Response Time_unknown;Host Response Time_within a day;Host Response Time_within a few hours;Host Response Time_within an hour;Property Type_Apartment;Property Type_Bed and breakfast;Property Type_Boat;Property Type_Boutique hotel;Property Type_Bungalow;Property Type_Condominium;Property Type_Guest suite;Property Type_Guesthouse;Property Type_Hostel;Property Type_Hotel;Property Type_House;Property Type_Loft;Property Type_Other;Property Type_Serviced apartment;Property Type_Townhouse;Room Type_Entire home/apt;Room Type_Private room;Room Type_Shared room
1206;;0.0;Prenzlauer Berg;Pankow;52.54652;13.41792;0.0;2.0;1.0;1.0;1.0;1.0;2.0;6;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;26.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2224;;0.0;Pankow;Pankow;52.56511999999999;13.42214;0.0;2.0;1.0;2.0;2.0;2.0;7.0;6;90.0;9.0;9.0;10.0;10.0;9.0;10.0;0.0;41.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1188;;0.0;Prenzlauer Berg;Pankow;52.54741;13.42521;0.0;3.0;1.0;1.0;2.0;1.0;1.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
318;;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.50958000000001;13.45144;0.0;2.0;1.0;1.0;1.0;1.0;2.0;4;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0.0;50.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2185;92.0;1.0;Prenzlauer Berg;Pankow;52.52995;13.41558;1.0;3.0;1.0;1.0;2.0;1.0;6.0;0;;;;;;;;1.0;55.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
991;100.0;1.0;Mariendorf;Tempelhof - SchÃ¶neberg;52.44826;13.40608;1.0;3.0;1.0;1.0;2.0;2.0;1.0;10;99.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;39.0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
2249;80.0;0.0;Wilmersdorf;Charlottenburg-Wilm.;52.494530000000005;13.32802;0.0;4.0;1.0;2.0;2.0;2.0;5.0;5;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;94.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1471;100.0;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.50021;13.43514;0.0;4.0;2.0;1.0;2.0;1.0;6.0;14;94.0;9.0;9.0;10.0;10.0;10.0;10.0;0.0;73.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
606;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49598000000001;13.39327;0.0;2.0;1.0;2.0;1.0;2.0;4.0;13;93.0;9.0;10.0;9.0;9.0;10.0;9.0;0.0;100.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1099;100.0;0.0;Moabit;Mitte;52.53145;13.3171;0.0;4.0;1.0;1.0;4.0;4.0;6.0;2;100.0;10.0;9.0;10.0;10.0;9.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2161;100.0;0.0;Wilmersdorf;Charlottenburg-Wilm.;52.47666999999999;13.31001;0.0;2.0;1.0;1.0;1.0;1.0;1.0;2;80.0;10.0;10.0;10.0;10.0;9.0;7.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1525;100.0;1.0;NeukÃ¶lln;NeukÃ¶lln;52.495540000000005;13.42865;1.0;3.0;1.0;1.0;2.0;2.0;2.0;15;99.0;10.0;10.0;10.0;10.0;10.0;9.0;1.0;58.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2684;;0.0;SchÃ¶neberg;Tempelhof - SchÃ¶neberg;52.49246;13.35544;0.0;2.0;1.0;1.0;1.0;1.0;3.0;99;97.0;10.0;10.0;9.0;10.0;10.0;10.0;0.0;55.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
31;100.0;0.0;Reinickendorf;Reinickendorf;52.56551999999999;13.349620000000002;0.0;2.0;1.0;1.0;1.0;1.0;4.0;0;;;;;;;;0.0;80.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1258;100.0;0.0;Mitte;Mitte;52.53551;13.38475;0.0;3.0;1.0;1.0;1.0;1.0;20.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1901;71.0;0.0;Karlshorst;Lichtenberg;52.4861;13.52592;0.0;1.0;1.0;1.0;1.0;1.0;6.0;0;;;;;;;;0.0;35.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1278;83.0;0.0;WeiÃensee;Pankow;52.5511;13.455170000000004;0.0;4.0;1.0;0.0;2.0;1.0;14.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1949;;1.0;NeukÃ¶lln;NeukÃ¶lln;52.47793000000001;13.44469;1.0;2.0;1.0;1.0;2.0;1.0;3.0;20;92.0;10.0;10.0;9.0;10.0;9.0;9.0;1.0;19.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1944;;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.506240000000005;13.45066;0.0;2.0;1.0;1.0;1.0;1.0;21.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1774;;0.0;Friedenau;Tempelhof - SchÃ¶neberg;52.46745;13.33923;0.0;2.0;1.0;1.0;1.0;1.0;1.0;10;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;40.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2177;100.0;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.51834;13.42853;0.0;2.0;1.0;1.0;2.0;2.0;4.0;69;92.0;10.0;9.0;10.0;10.0;10.0;10.0;0.0;81.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1206;100.0;0.0;Hansaviertel;Mitte;52.52053000000001;13.334929999999998;0.0;4.0;1.0;1.0;2.0;2.0;3.0;16;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;30.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
941;;0.0;Wedding;Mitte;52.54089000000001;13.34747;0.0;4.0;1.0;1.0;4.0;1.0;4.0;36;79.0;9.0;8.0;10.0;10.0;9.0;9.0;0.0;70.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1523;98.0;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49551999999999;13.425679999999998;0.0;2.0;1.0;0.0;1.0;1.0;1.0;4;75.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;59.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
172;;0.0;NeukÃ¶lln;NeukÃ¶lln;52.48608;13.42603;0.0;2.0;1.0;1.0;1.0;1.0;3.0;3;93.0;9.0;9.0;8.0;8.0;10.0;9.0;0.0;39.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1042;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49706;13.48321;0.0;2.0;1.0;1.0;1.0;1.0;2.0;5;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;35.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2309;;0.0;Charlottenburg;Charlottenburg-Wilm.;52.50287;13.315320000000002;0.0;2.0;1.0;1.0;1.0;1.0;7.0;0;;;;;;;;0.0;100.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2282;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49036;13.39564;0.0;4.0;1.5;2.0;2.0;2.0;4.0;16;95.0;10.0;9.0;10.0;10.0;10.0;9.0;0.0;69.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
432;78.0;0.0;Prenzlauer Berg;Pankow;52.54726;13.41555;0.0;6.0;1.0;2.0;1.0;2.0;5.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;100.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
125;100.0;0.0;Wilmersdorf;Charlottenburg-Wilm.;52.49466999999999;13.30176;0.0;2.0;1.0;1.0;2.0;1.0;3.0;5;75.0;6.0;10.0;8.0;10.0;9.0;8.0;0.0;18.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
989;89.0;0.0;Wedding;Mitte;52.55234;13.37216;0.0;2.0;1.0;1.0;1.0;1.0;5.0;5;88.0;9.0;8.0;10.0;9.0;8.0;9.0;0.0;59.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1138;;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49078000000001;13.419129999999996;0.0;2.0;1.0;1.0;1.0;2.0;3.0;8;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;140.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1719;;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.51274;13.45579;0.0;3.0;1.0;1.0;1.0;1.0;6.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;49.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2535;100.0;0.0;Steglitz;Steglitz - Zehlendorf;52.44683000000001;13.32564;0.0;2.0;1.0;1.0;1.0;1.0;6.0;25;94.0;10.0;9.0;10.0;10.0;9.0;9.0;0.0;75.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
331;;0.0;Prenzlauer Berg;Pankow;52.52873000000001;13.436320000000002;0.0;2.0;1.0;1.0;1.0;1.0;4.0;2;80.0;9.0;7.0;10.0;10.0;7.0;6.0;0.0;42.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2075;;0.0;Prenzlauer Berg;Pankow;52.53340999999999;13.42482;0.0;2.0;1.0;1.0;1.0;1.0;2.0;0;;;;;;;;0.0;45.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1530;100.0;0.0;Kreuzberg;Friedrichshain-Kreuzberg;52.49605;13.43737;0.0;10.0;2.0;3.0;8.0;5.0;4.0;32;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;125.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1276;100.0;0.0;NeukÃ¶lln;NeukÃ¶lln;52.47641999999999;13.42217;0.0;4.0;2.0;1.0;2.0;1.0;1.0;2;;;;;;;;0.0;70.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
330;50.0;0.0;Baumschulenweg;Treptow - KÃ¶penick;52.46928000000001;13.47197;0.0;1.0;1.0;1.0;1.0;1.0;1.0;26;98.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;10.0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1574;100.0;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.50456;13.46881;0.0;2.0;1.0;1.0;1.0;1.0;2.0;1;100.0;10.0;8.0;10.0;10.0;10.0;10.0;0.0;40.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
609;;0.0;Friedrichshain;Friedrichshain-Kreuzberg;52.51691;13.47234;0.0;2.0;1.0;1.0;1.0;1.0;1.0;5;95.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;32.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1080;100.0;1.0;Friedrichshain;Friedrichshain-Kreuzberg;52.51931999999999;13.45496;1.0;1.0;1.0;1.0;1.0;1.0;3.0;26;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;28.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
436;;0.0;Wedding;Mitte;52.54471;13.365970000000004;0.0;3.0;1.0;1.0;1.0;1.0;3.0;0;;;;;;;;0.0;38.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1136;;0.0;Prenzlauer Berg;Pankow;52.53199000000001;13.43551;0.0;3.0;1.0;1.0;2.0;1.0;2.0;4;87.0;8.0;8.0;9.0;8.0;9.0;9.0;0.0;21.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1005;;0.0;NeukÃ¶lln;NeukÃ¶lln;52.47379;13.426629999999998;0.0;2.0;1.0;0.0;1.0;1.0;7.0;0;;;;;;;;0.0;47.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1439;;0.0;Alt-HohenschÃ¶nhausen;Lichtenberg;52.53941999999999;13.58221;0.0;3.0;1.0;1.0;2.0;1.0;1.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;29.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
668;100.0;0.0;Rummelsburg;Lichtenberg;52.50133000000001;13.48245;0.0;2.0;1.0;1.0;1.0;1.0;1.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2367;;0.0;Mitte;Mitte;52.524980000000006;13.41105;0.0;2.0;1.0;1.0;1.0;2.0;3.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;150.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
1720;100.0;0.0;SchÃ¶neberg;Tempelhof - SchÃ¶neberg;52.50211999999999;13.352520000000002;0.0;2.0;1.0;1.0;1.0;2.0;1.0;29;93.0;10.0;10.0;9.0;10.0;10.0;9.0;0.0;50.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2788;;0.0;NeukÃ¶lln;NeukÃ¶lln;52.47373000000001;13.446870000000002;0.0;9.0;1.0;3.0;6.0;2.0;7.0;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;129.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
